Root Domain,company,Image Url 1,Link to Product Page,Sentence1,Sentence2,Model Number,job titles,Contact Email,Response
collisionservices.com,Collision Services,https://www.collisionservices.com/images/prods/popup/1701214.jpg,https://www.collisionservices.com/product/access-tools-emergency-response-kit-long-case-erklc/automotive-specialty-tools,I was browsing through your site and came across one of your products: access tools emergency response kit long case,"That comes with a soft-sided case, right?",(model number: erklc ),owner,sales@collisionservices.com,sales@collisionservices.com
metromatics.com.au,Metromatics,https://metromatics.com.au/wp-content/uploads/2021/10/carry-on-power-case.png,https://metromatics.com.au/product/carry-on-power-case/,I was browsing through your site and came across one of your products: carry on power case,"That comes with a plastic case and foam inserts, right?",,owner,sales@metromatics.com.au,sales@metromatics.com.au
faradaypredictive.com,Faraday Predictive,http://www.faradaypredictive.com/uploads/hero-images/p100.jpg,https://www.faradaypredictive.com/products-and-services/p100-portable-equipment-health-assessor/,I was browsing through your site and came across one of your products: p100 – portable equipment health assessor,"That comes with a plastic case, right?",,owner,info@faradaypredictive.com,info@faradaypredictive.com
suessco.com,SuessCo Sensors,https://suessco.com/wp-content/uploads/2024/12/Unbenannt.png,https://suessco.com/en/case-studies/,I was browsing through your site and came across one of your products: sensors,"That comes with a plastic case, right?",,owner,sensors@suessco.com,sensors@suessco.com
globalmrv.com,Global MRV,https://www.globalmrv.com/wp-content/uploads/2023/12/banner-img5.webp,https://www.globalmrv.com/,I was browsing through your site and came across one of your products: axion r/s pems,"That comes with foam inserts, right?",,owner,david.gardner@globalmrv.com,david.gardner@globalmrv.com
ieetek.com,IEETek,https://ieetek.com/wp-content/uploads/2024/05/06-SE4600-%E4%BE%A7%E9%9D%A2.png,https://ieetek.com/product/ieetek-se5000-portable-power-station-solar-generator/,I was browsing through your site and came across one of your products: ieetek se5000 portable power station / solar generator,"That comes with integration cases, right?",,owner,info@ieetek.com,info@ieetek.com
foxwelltech.us,Foxwell Technology,https://www.foxwelltech.us/image/2023/9/5/20230905114200/1693885320830.jpg,https://www.foxwelltech.us/product-detail-754.html,I was browsing through your site and came across one of your products: ts7000,"That comes with a silicone skin, right?",,owner,support@foxwelltech.com,support@foxwelltech.com
fcarusa.com,FCAR Tech USA,https://www.fcarusa.com/sites/default/files/ProductsImages/F7SG/F7SG-case-open-small.jpg,https://www.fcarusa.com/products/F7SG,I was browsing through your site and came across one of your products: f7sg master tabpro,"That comes with plastic case and foam inserts, right?",(model number: f7sg ),owner,info@fcarusa.com,info@fcarusa.com
vxdas.com,VXDAS,http://www.vxdas.com/cdn/shop/files/RedmipadSE11-inchtabletcaseblack.png?v=1717658187,https://www.vxdas.com/products/case-of-the-xiaomi-redmi-pad-se-11,I was browsing through your site and came across one of your products: case of the xiaomi redmi pad se 11,"That comes with silicone skin, right?",(model number: AP297-Black ),owner,webmaster@vxdas.com,webmaster@vxdas.com
omnitronsensors.com,Omnitron Sensors,https://omnitronsensors.com/wp-content/uploads/2022/08/LiDar-Technology-768x1024.jpg,https://omnitronsensors.com/technology/,I was browsing through your site and came across one of your products: omnitrons sensors,"That comes with a plastic case, right?",,owner,info@omnitronsensors.com,info@omnitronsensors.com
autodiagnosticsandpublishing.com,Automotive Diagnostics and Publishing,http://www.autodiagnosticsandpublishing.com/ecm_ghost_files/image024.jpg,http://www.autodiagnosticsandpublishing.com/ecm_ghost.htm,I was browsing through your site and came across one of your products: ecm ghost electronic breakout box,"That comes with foam inserts, right?",(model number: ecm-ghost ),owner,sales@autodiagnosticsandpublishing.com,sales@autodiagnosticsandpublishing.com
metadiag.com,Metadiag,https://metadiag.com/wp-content/uploads/2024/11/web1-70001052-01-640x640.webp,https://metadiag.com/product-category/diagnostic-tools/,I was browsing through your site and came across one of your products: autotuner,"That comes with a plastic case, right?",,owner,info@metadiag.com.tr,info@metadiag.com.tr
auteleshop.com,Autel,https://www.auteleshop.com/upload/pro/19071515631845869158.png,https://www.auteleshop.com/wholesale/carrying-case-of-autel-maxidas-ds808.html,I was browsing through your site and came across one of your products: original carrying case of autel maxidas ds808,"That comes with a plastic case, right?",(model number: DS808-B ),owner,sales@AutelEShop.com,sales@AutelEShop.com
scantool.net,"OBD Solutions, LLC",https://www.scantool.net/media/catalog/product/cache/1/image/650x/040ec09b1e35df139433887a97daa66f/c/a/case_obdlink_800w_1_3_1_1.jpg,https://www.scantool.net/obdlink-wifi-scan-tool/,I was browsing through your site and came across one of your products: obdlink wifi scan tool,"That comes with foam inserts, right?",(model number: 4251WF ),owner,contact@scantool.net,contact@scantool.net
airprodiagnostics.com,AirPro Diagnostics,https://airprodiagnostics.com/wp-content/uploads/2022/02/16281476-1305-4a14-a079-0b66f276ab26.jpeg,https://airprodiagnostics.com/services/,I was browsing through your site and came across one of your products: orion,"That comes with a plastic case, right?",,owner,contact@airprodiagnostics.com,contact@airprodiagnostics.com
deltakits.com,Delta Kits,https://www.deltakits.com/wp-content/uploads/2023/05/35010_DeltaKits_HeadlightRestorationKitBox-3-1.jpg,https://www.deltakits.com/shop/headlight-restoration-products/system-supplies-hr/other-system-supplies-hr/product/412-kit-box-for-headlight-restoration-systems/,I was browsing through your site and came across one of your products: headlight restoration kit box,"That comes with foam inserts, right?",(model number: 35010 ),owner,sales@deltakits.com,sales@deltakits.com
aegistools.com,AEGIS Tools,https://www.aegistools.com/wp-content/uploads/2013/04/CAS2026-1.jpg,https://www.aegistools.com/product/glass-handler-case,I was browsing through your site and came across one of your products: aegis tool and supply case,"That comes with plastic cases, right?",(model number: cas2026 ),owner,info@aegistools.com,info@aegistools.com
glassmechanix.com,Glass Mechanix,https://glassmechanix.com/cdn/shop/products/00100lrPORTRAIT_00100_BURST20200213122021198_COVER_bef97630-6a0f-491f-a15b-5f0b4091bb66_300x300.jpg?v=1658940763,https://glassmechanix.com/products/copy-of-heavy-duty-daytona-foam,I was browsing through your site and came across one of your products: heavy duty daytona case w/ foam,"That comes with foam inserts, right?",(model number: GM606 ),owner,info@glassmechanix.com,info@glassmechanix.com
glasweld.com,GlasWeld,https://glasweld.com/wp-content/uploads/2019/10/Glasweld-June-2024-12-X4.jpg,https://glasweld.com/product/business-pro-windshield-repair-kit/,I was browsing through your site and came across one of your products: business pro windshield repair kit,"That comes with a case with foam inserts, right?",(model number: GW-W43146 ),owner,info@glasweld.com,info@glasweld.com
windshieldrepairkits.com,American Windshield Repair Systems,https://www.windshieldrepairkits.com/wp-content/uploads/2024/06/mk-case-in-case-pixloom-open-small-pic-scaled.jpg,https://www.windshieldrepairkits.com/product/american-mini-kit-with-hard-shell-case/,I was browsing through your site and came across one of your products: american mini kit with hard shell case,"That comes with a case with foam inserts, right?",(model number: generation 2 mini kit ),owner,dqman40rock@gmail.com,dqman40rock@gmail.com
bluestar-products.com,Blue Star Products Inc,https://bluestar-products.com/images/products/detail/ClearVac_windshieldrepairkitDeluxe.jpg,https://bluestar-products.com/professionalwindshieldrepair.aspx,I was browsing through your site and came across one of your products: magnapump standard windshield repair kit,"That comes with a plastic case, right?",(model number: MP25 ),owner,bluestar@bluestar-products.com,bluestar@bluestar-products.com
liquidresins.com,Liquid Resins International,https://www.liquidresins.com/wp-content/uploads/2018/10/Small-Kit-B.jpg,https://www.liquidresins.com/product/mvp-360-kwik-kit/,I was browsing through your site and came across one of your products: mvp 360 kwik kit,"That comes with a case with foam inserts, right?",(model number: MVP360KwikKit ),owner,sales@liquidresins.com,sales@liquidresins.com
clearshieldsupplies.com,ClearShield Supplies,https://clearshieldsupplies.com/cdn/shop/files/B0779KNRWG_Plus_kit_custom_case.jpg?v=1740675881&width=1920,https://clearshieldsupplies.com/products/professional-plus-windshield-repair-kit,I was browsing through your site and came across one of your products: professional plus windshield repair kit,"That comes with a plastic case, right?",,owner,info@clearshieldsupplies.com,info@clearshieldsupplies.com
belron.com,Belron,https://www.belron.com/cms/assets/cukesk316/files/styles/angular_render/public/2023-10/img_vid_tools.webp.jpg?itok=h1RWYPlA,https://www.belron.com/serving-customers/patented-technology,I was browsing through your site and came across one of your products: 1-tek,"That comes with foam inserts, right?",,owner,general.contact@belron.com,general.contact@belron.com
lilbuddypro.com,Lil Buddy,https://www.lilbuddypro.com/wp-content/uploads/2019/08/case_2.jpg,https://www.lilbuddypro.com/product/lil-buddy-deluxe-carrying-case/,I was browsing through your site and came across one of your products: lil’ buddy deluxe carrying case,"That comes with a plastic case, right?",(model number: lil’ buddy pro 1 heavy duty auto glass handling and replacement tool ),owner,sales@lilbuddypro.com,sales@lilbuddypro.com
triglassinc.com,Tri Glass Inc.,https://triglassinc.com/wp-content/uploads/2018/11/triglass-kit-pro-2.jpeg,https://triglassinc.com/product/tri-glass-professional-windshield-repair-kit/,I was browsing through your site and came across one of your products: tri glass professional windshield repair kit,"That comes with a plastic case, right?",,owner,sales@triglassinc.com,sales@triglassinc.com
autoglassolutions.com,Auto Glass Solutions,https://autoglassolutions.com/wp-content/uploads/2005/09/Accelerator-Deluxe-Case-Text-2.jpg,https://autoglassolutions.com/product/accelerator-deluxe-kit/,I was browsing through your site and came across one of your products: accelerator deluxe windshield repair kit,"That comes with a plastic case with foam inserts, right?",(model number: ADK101 ),owner,info@autoglassolutions.com,info@autoglassolutions.com
jaags.com,JAAGS LLC,https://www.jaags.com/cdn/shop/files/s-l1600_1.jpg?v=1695566979,https://www.jaags.com/products/new-hardshell-case-for-the-grabo-pro-portable-electric-vacuum-cup-lifter-for-granite-tiles-stone-wood-glass-concrete-pavers-drywall-lifter-tool-375lbs-max-load,I was browsing through your site and came across one of your products: new hardshell case for the grabo pro portable electric vacuum cup lifter,"That comes with a plastic case, right?",(model number: grabo pro-lifter 20 / gp-1li-fb ),owner,info@jaags.com,info@jaags.com
autoglasstoolsonline.com,AGS Industries,https://autoglasstoolsonline.com/wp-content/uploads/2015/09/Velocity-Case.jpg,https://autoglasstoolsonline.com/product/velocity-windshield-repair-kit/,I was browsing through your site and came across one of your products: velocity windshield repair kit,"That comes with foam inserts, right?",(model number: VRK613a ),owner,info@autoglasstoolsonline.com,info@autoglasstoolsonline.com
windshieldkits.com,Windshield Doctor,https://www.windshieldkits.com/starkit2.jpg,https://www.windshieldkits.com/windshield-repair-kits,I was browsing through your site and came across one of your products: deluxe kit,"That comes with a case with foam inserts, right?",(model number: wd-dlx ),owner,customerservice@windshieldkits.com,customerservice@windshieldkits.com
vw.snapon.com,Snap-on,https://vw.snapon.com/FileServerRoot/CatManFiles/FilesPublished/EQS/VWTools/Images/Digital/VAG1598_15.jpg,https://vw.snapon.com/SpecialToolsDetail.aspx?itemid=5640163,I was browsing through your site and came across one of your products: test box kit - plastic carrying case,"That comes with foam inserts, right?",(model number: VAG1598/15 ),owner,info@snapon.com,info@snapon.com
carcomputerus.com,ECM OPTIONS,https://carcomputerus.com/wp-content/uploads/2020/10/MS908-450x280.png,https://carcomputerus.com/shop-2/autel-maxiflash-elite-j2534/,I was browsing through your site and came across one of your products: autel maxiflash elite (j2534),"That comes with a plastic case and foam inserts, right?",(model number: j2534 ),owner,ecmoptions@gmail.com,ecmoptions@gmail.com
uobdii.com,UOBD2,https://www.uobdii.com/upload/pro/22052316533014798198.jpg,https://www.uobdii.com/wholesale/godiag-gt101-bag.html,I was browsing through your site and came across one of your products: godiag gt101 protective eva waterproof hard shell zipper case,"That comes with an EVA case, right?",(model number: gt101 ),owner,Sales@UOBDII.com,Sales@UOBDII.com
ross-tech.com,"Ross-Tech, LLC",https://www.ross-tech.com/vcds/pro-kit/images/ProKit-Case-320.jpg,https://www.ross-tech.com/vcds/pro-kit/,I was browsing through your site and came across one of your products: vcds pro-kit,"That comes with a plastic case, right?",,owner,support@ilexa.co.uk,support@ilexa.co.uk
thrustmaster.com,Thrustmaster,https://www.thrustmaster.com/wp-content/uploads/2021/10/UTH-eswap-t-case-3-768x467-1.webp,https://www.thrustmaster.com/en-us/products/eswap-t-case/,I was browsing through your site and came across one of your products: eswap t-case,"That comes with an EVA case, right?",,owner,privacy@thrustmaster.com,privacy@thrustmaster.com
vboxautomotive.co.uk,VBOX Automotive,https://www.vboxautomotive.co.uk/templates/yootheme/cache/8e/acs253-pbn-motorcycle-case-8e31d47b.jpeg,https://www.vboxautomotive.co.uk/index.php/en/products/modules-accessories/accessories,I was browsing through your site and came across one of your products: vbox 4,"That comes with a case with foam inserts, right?",,owner,No generic contact email found on the website.,No generic contact email found on the website.
racebox.pro,RaceBox,https://www.racebox.pro/product-image/racebox-carry-case.png,https://www.racebox.pro/products/racebox-carry-case,I was browsing through your site and came across one of your products: racebox carry case,"That comes with EVA case, right?",,owner,support@racebox.pro,support@racebox.pro
smartville.io,Smartville,https://smartville.io/wp-content/uploads/2024/07/imgpsh_fullsize_anim__1_-removebg-preview.png,https://smartville.io/,I was browsing through your site and came across one of your products: smartville 360,"That comes with a plastic case, right?",,owner,info@smartville.io,info@smartville.io
tetools.com,T&E Tools Pty Ltd,https://www.tetools.com/assets/thumbL/C1110.png?20210204033517,https://www.tetools.com/red-metal-case-325-x-129-x-38mm,I was browsing through your site and came across one of your products: red metal case,"That comes with a metal case, right?",(model number: C1110 ),owner,info@tetools.com,info@tetools.com
futuretechauto.com,FutureTech,https://www.futuretechauto.com/uploads/6/1/4/6/61461933/picture1_1_orig.jpg,https://www.futuretechauto.com/nxtgen.html,"I was browsing through your site and came across one of your products: nxtgen inverter, dc-dc converter, and electric transmission option","That comes with a soft-sided case, right?",,owner,info@futuretechauto.com,info@futuretechauto.com
bf1systems.com,bf1systems,https://bf1systems.com/wp-content/uploads/2024/05/Vulcan-Wheel-With-Case-1-Background.jpg,https://bf1systems.com/product/road-track-car-steering-wheels/,I was browsing through your site and came across one of your products: road track car steering wheels,"That comes with an ATA case and foam inserts, right?",,owner,info@bf1systems.com,info@bf1systems.com
5star-cases.com,5 Star Cases,https://5star-cases.com/wp-content/uploads/2021/03/Std_Case.jpg,https://5star-cases.com/standard-case/,I was browsing through your site and came across one of your products: standard flight case,"That comes with aluminum cases, right?",,owner,info@5star-cases.com,info@5star-cases.com
bajadesigns.com,Baja Designs,https://www.bajadesigns.com/wp-content/uploads/2024/12/12-days-day5.jpg,https://www.bajadesigns.com/12-days/,I was browsing through your site and came across one of your products: na,"That comes with plastic cases, right?",,owner,info@bajadesigns.com,info@bajadesigns.com
bmotorsports.com,Ballenger Motorsports,https://www.bmotorsports.com/shop/images/TOOL-00897~1.jpg,https://www.bmotorsports.com/shop/product_info.php/manufacturers_id/9/products_id/5084,I was browsing through your site and came across one of your products: ballenger motorsports tool carrying case,"That comes with foam inserts, right?",(model number: TOOL-00897 ),owner,virginianeedsppe@gmail.com,virginianeedsppe@gmail.com
healtech-electronics.com,HealTech Electronics,https://www.healtech-electronics.com/wp-content/uploads/OBD_case_dimensions-400x250.png,https://www.healtech-electronics.com/products/obd/,I was browsing through your site and came across one of your products: obd tool,"That comes with plastic case, right?",,owner,support@healtech-electronics.com,support@healtech-electronics.com
braunability.eu,BraunAbility,https://www.braunability.eu/contentassets/dca50e350de24d4ba006a7077ba4331c/mainimage_770x600.jpg,https://www.braunability.eu/en/products/stowing-solutions/chair-topper/,I was browsing through your site and came across one of your products: chair topper,"That comes with an aluminum case, right?",,owner,info@braunability.eu,info@braunability.eu
ats-equipment.com,"Automated Testing Solutions, Inc.",https://www.ats-equipment.com/wp-content/uploads/2020/06/Gen5-1x.jpg,https://www.ats-equipment.com/?page_id=126,I was browsing through your site and came across one of your products: aw-3000 portable test kit,"That comes with an ATA case, right?",(model number: AW-3000 ),owner,"contact email typically found in the contact page or footer, but not explicitly provided in the scraped data.","contact email typically found in the contact page or footer, but not explicitly provided in the scraped data."
productsafet.com,Educated Design & Development,https://www.productsafet.com/wp-content/uploads/2019/01/JET-04-Case.gif,https://www.productsafet.com/product/model-jet-04-deluxe-jet-nozzle-kit/,I was browsing through your site and came across one of your products: jet-04 deluxe jet nozzle kit,"That comes with foam inserts, right?",,owner,info@productsafet.com,info@productsafet.com
accutestsystems.com,AccuTEST Systems,https://accutestsystems.com/wp-content/uploads/2023/06/accutest-008-1024x752.jpg,https://accutestsystems.com/accutest-tt/,I was browsing through your site and came across one of your products: accutest-tt,"That comes with an aluminum case and a case with foam inserts, right?",,owner,info@accutestsystems.com,info@accutestsystems.com
smartdelta.nl,Smart Delta,https://smartdelta.nl/wp-content/uploads/2023/07/DSC0654-scaled.jpg,https://smartdelta.nl/solutions/,"I was browsing through your site and came across one of your products: smart pano, mms software, smart stitch, smartres pro, sd stitcher, penta pano","That comes with a case with foam inserts, right?",,owner,info@smartdelta.nl,info@smartdelta.nl
southinstrument.com,SOUTH SURVEYING & MAPPING,https://www.southinstrument.com/uploads/image/2022-06-10/62a30e91308c7.png,https://www.southinstrument.com/solution/solu_list/sol_tid/16.html,I was browsing through your site and came across one of your products: south surveying & mapping instruments,"That comes with plastic case, right?",,owner,mail@southsurvey.com,mail@southsurvey.com
aerial-precision.com,Aerial Precision,https://www.aerial-precision.com/cdn/shop/files/4-IMG_5265.jpg?v=1733833519&width=533,https://www.aerial-precision.com/,I was browsing through your site and came across one of your products: ap-lidar-one gen ii,"That comes with foam inserts, right?",(model number: ap-lidar-one gen ii ),owner,info@aerial-precision.com,info@aerial-precision.com
hypoxico.com,Hypoxico,http://hypoxico.com/cdn/shop/products/travel-case.jpg?v=1633740739,https://hypoxico.com/products/travel-case,I was browsing through your site and came across one of your products: everest summit ii,"That comes with a plastic case, right?",,owner,hello@hypoxico.com,hello@hypoxico.com
munroinstruments.com,Munro Instruments,https://www.munroinstruments.com/wp-content/uploads/2019/03/Flight-Case-Closed.jpg,https://www.munroinstruments.com/product/flight-case-for-portable-skid-resistance-tester/,I was browsing through your site and came across one of your products: flight case for portable skid resistance tester,"That comes with an ATA case, right?",(model number: SKU 303390 ),owner,info@munroinstruments.com,info@munroinstruments.com
otwsafety.com,OTW Safety,https://otwsafety.com/wp-content/uploads/2024/02/OTW_CollapsibleCone28_-156_web.jpg.webp,https://otwsafety.com/products/construction-traffic-barricades/collapsible-cone-kit/,I was browsing through your site and came across one of your products: collapsible traffic cone kit,"That comes with soft-sided bags, right?",,owner,info@otwsafety.com,info@otwsafety.com
lufft.com,Lufft,https://www.lufft.com/typo3temp/assets/_processed_/8/1/csm_5800_BAG_Case_for_hand-held-measuring_device_13_6d0675f132.jpg,https://www.lufft.com/products/accessories-310/case-for-hand-held-measuring-device-2283/,I was browsing through your site and came across one of your products: case for hand-held-measuring device,"That comes with a cut and sew bag, right?",(model number: 5800.BAG ),owner,met-info(at)otthydromet.com,met-info(at)otthydromet.com
evchargesolutions.com,EV Charge Solutions,https://www.evchargesolutions.com/v/vspfiles/photos/EVCS-D16DV-C-06-3.jpg,https://www.evchargesolutions.com/EV-Charge-Solutions-Dual-Voltage-p/evcs-d16dv-c-06.htm,I was browsing through your site and came across one of your products: ev charge solutions® dual voltage level 1 & level 2 ev charger,"That comes with cut and sew bags, right?",(model number: EVCS-D16DV-C-06 ),owner,contact@evchargesolutions.com,contact@evchargesolutions.com
gasera.fi,Gasera Ltd,https://gasera.fi/wp-content/uploads/2018/07/G_Mini-IRON_2-1200x800.png,https://gasera.fi/product/gasera-one-pulse/,I was browsing through your site and came across one of your products: gasera one pulse,"That comes with a plastic case, right?",,owner,contact@gasera.fi,contact@gasera.fi
m.geosunlidar.com,Geosun,https://m.geosunlidar.com/photo/geosunlidar/editor/20241220164750_75121.jpg,https://m.geosunlidar.com/sale-23999594-slam-lidar-scanning-system-slam-backpack-3d-scanning-underground-indoor.html,I was browsing through your site and came across one of your products: slam lidar scanning system slam backpack 3d scanning underground indoor,"That comes with foam inserts, right?",(model number: GS-100G ),owner,sales@geosunlidar.com,sales@geosunlidar.com
spatialsource.com.au,Spatial Source,https://www.spatialsource.com.au/wp-content/uploads/2025/03/PIC4-Raptor-Case_details_add-ons_550.jpg?w=335,https://www.spatialsource.com.au/meet-anzu-raptor-affordable-reliable-and-efficient/,I was browsing through your site and came across one of your products: raptor,"That comes with a plastic case, right?","(model number: raptor, raptort )",owner,jnally@intermedia.com.au,jnally@intermedia.com.au
zera.de,ZERA GmbH,https://www.zera.de/wp-content/uploads/EMOB200-test-case_Web.jpg,https://www.zera.de/en/product/test-systems-e-mobility/emob200-test-case/,I was browsing through your site and came across one of your products: emob200-00,"That comes with a case with foam inserts, right?",(model number: emob200-00 ),owner,info@zera.de,info@zera.de
stryten.com,Stryten Energy,https://www.stryten.com/wp-content/uploads/2022/07/Stryten-SLI-BATTERY-CONTAINERS-598x598.png,https://www.stryten.com/engineered-plastic-components/,"I was browsing through your site and came across one of your products: sli plastic battery containers, sli plastic battery covers, sli plastic battery vents, sli lead battery terminals, sli plastic battery-grade polypropylene, sli plastic battery handles & terminal protectors, motive power and essential power battery components, motive and essential power battery jars, motive and essential power battery covers, motive and essential power battery vents, motive and essential power battery o-ring terminals, motive and essential power battery terminals, motive and essential power battery-grade polypropylene","That comes with foam inserts, right?",,owner,stryten.info@stryten.com,stryten.info@stryten.com
cleanair.com,CleanAir Engineering,https://www.cleanair.com/wp-content/uploads/2020/12/products-large-carry-case-portable-monitor__58180.1565191029.1280.1280.jpg,https://www.cleanair.com/product/aeroqual-robust-case/,I was browsing through your site and came across one of your products: aeroqual robust case,"That comes with a plastic case and foam inserts, right?",(model number: ASR41 ),owner,info@cleanair.com,info@cleanair.com
capelec.com,Capelec,https://www.capelec.com/sites/default/files/2024-09/Capelec-CAP3500-opacimetre-malette_0.jpg,https://www.capelec.com/en/blog/capelec-smokemeter-approved-switzerland,I was browsing through your site and came across one of your products: cap3600 pc smoke meter,"That comes with foam inserts, right?",(model number: cap3600 ),owner,info@capelec.com,info@capelec.com
cypressengine.com,Cypress Engine Accessories,https://cypressengine.com/wp-content/uploads/2018/02/s7.jpg,https://cypressengine.com/engine-components-and-accessories/,I was browsing through your site and came across one of your products: na,"That comes with foam inserts, right?",,owner,sales@cypressengine.com,sales@cypressengine.com
tinysa.org,tinysa,https://tinysa.org/wiki/uploads/Main/content.jpg,https://tinysa.org/wiki/pmwiki.php?n=Main.FirstUse,I was browsing through your site and came across one of your products: tinysa basic,"That comes with foam inserts, right?",,owner,tinysa@groups.io,tinysa@groups.io
ohiolumex.com,Ohio Lumex,https://www.ohiolumex.com/wp-content/uploads/2024/01/Case.png,https://www.ohiolumex.com/product/310-gaseous-fuels-sampling-system/,I was browsing through your site and came across one of your products: gaseous fuels sampling system,"That comes with a plastic case, right?",(model number: 310 ),owner,info@ohiolumex.com,info@ohiolumex.com
aersampling.com,Aer Sampling,http://aersampling.com/cdn/shop/products/AERHQHT-k-159-left-head-top-view-r0_1024x1024.jpg?v=1673849453,https://aersampling.com/products/k-159-glassware-transport-case-type-1b-kit,I was browsing through your site and came across one of your products: glassware transport case (type 1b) kit,"That comes with ATA case and foam inserts, right?",(model number: K-159 ),owner,contact@aersampling.com,contact@aersampling.com
ultralifecorporation.com,Ultralife Corporation,https://www.ultralifecorporation.com/ECommerce/site/images/thumbnails/CH0004-04/e0135e47caeacb464ce05d666cbac5a3/600x600.0/CH0004-04.jpg?133727597557823628,https://www.ultralifecorporation.com/ECommerce/product/ch0004-charger/2-bay-tactical-charger-for-xx90-batteries/ch0004-04/2-bay-tacticaleu-cord,I was browsing through your site and came across one of your products: 2-bay tactical charger for xx90 batteries,"That comes with an integration case, right?",(model number: ch0004 ),owner,it_apps@ulbi.com,it_apps@ulbi.com
kongter.com,Kongter,https://kongter.com/wp-content/uploads/2023/02/DSC_6407-300x.png,https://kongter.com/,I was browsing through your site and came across one of your products: battery test equipment,"That comes with a case with foam inserts, right?",,owner,sales@kongter.com,sales@kongter.com
totexmfg.com,Totex Manufacturing,https://www.totexmfg.com/wp-content/uploads/2023/03/Totex15-38890-1.jpg,https://www.totexmfg.com/custom-chargers/,I was browsing through your site and came across one of your products: custom chargers,"That comes with a plastic case, right?",,owner,info@totexmfg.com,info@totexmfg.com
shockboxes.com,ShockBox,https://shockboxes.com/wp-content/uploads/Complete-EBACS-Electronic-Battery-Analyzer_Charging-System-1024x1024.png,https://shockboxes.com/,I was browsing through your site and came across one of your products: complete ebacs – electronic battery analyzer/charging system,"That comes with an ATA case, right?",,owner,info@shockboxes.com,info@shockboxes.com
expo21xx.com,EXPO21XX,https://www.expo21xx.com/cipmedia/18960/14b.jpg,https://www.expo21xx.com/quality-control-testing/18960_st3_3d-measurement/default.htm,I was browsing through your site and came across one of your products: faro vectorri imaging laser radar,"That comes with a case with foam inserts, right?",,owner,info@expo21xx.com,info@expo21xx.com
windshieldchipkits.com,S.I.C.K.,https://windshieldchipkits.com/blog/wp-content/uploads/2024/04/Stage-1-Hard-Case-600x786.png,https://windshieldchipkits.com/blog/product/stage-1-s-i-c-k-kit-in-carry-case/,I was browsing through your site and came across one of your products: stage 1 s.i.c.k. kit in carry case,"That comes with foam inserts, right?",(model number: 616 ),owner,info@windshieldchipkits.com,info@windshieldchipkits.com
hqtruckparts.com,HQ Truck Parts,https://hqtruckparts.com/wp-content/uploads/2024/04/HQ-Daken-Poly-Tool-Box-sku-81002-18x18x18-welvet_view4-scaled.webp,https://hqtruckparts.com/product/semi-truck-underbody-tool-box-19x16x16-inches-sku-81002/,I was browsing through your site and came across one of your products: daken plastic tool box,"That comes with plastic cases, right?",(model number: 81002 ),owner,info@hqtruckparts.com,info@hqtruckparts.com
imrusa.com,"IMR Environmental Equipment, Inc.",https://imrusa.com/wp-content/uploads/2023/10/IMR-2800P.webp,https://imrusa.com/imr-2800p/,I was browsing through your site and came across one of your products: flue gas analyzer,"That comes with an aluminum case, right?",(model number: imr 2800p ),owner,INFO@IMRUSA.COM,INFO@IMRUSA.COM
moparessentialtools.com,Mopar,https://www.moparessentialtools.com/FileServerRoot/CatManFiles/FilesPublished/EQS/Mopar/Images/2016-11-3013_55_58.jpg,https://www.moparessentialtools.com/item-detail.aspx?itemid=34310008&type=tools,I was browsing through your site and came across one of your products: mopar essential tools,"That comes with a plastic case, right?",,owner,Moparsupport@snapon.com,Moparsupport@snapon.com
outdoorresearch.com,Outdoor Research,http://www.outdoorresearch.com/cdn/shop/files/2564970014.png?v=1707781164,https://www.outdoorresearch.com/products/sg-water-bottle-parka-1-liter-usa-256497,I was browsing through your site and came across one of your products: sg water bottle parka,"That comes with a soft-sided case, right?",(model number: 1 liter - usa ),owner,info@outdoorresearch.com,info@outdoorresearch.com
miwv.com,Mi-Wave,https://www.miwv.com/wp-content/uploads/2021/11/kit-close-768x1024.jpg,https://www.miwv.com/waveguide-calibration-kits-full-band/,I was browsing through your site and came across one of your products: 780 series waveguide calibration kits,"That comes with a wood case, right?","(model number: 780K/595, 780(34)/595, 780A/599, 780B/383, 780U/599, 780V/385, 780E/387, 780W/387, 780F/387, 780D/387, 780G/387, 780H/387, 780J/387 )",owner,info@miwv.com,info@miwv.com
holightoptic.com,Holight,https://www.holightoptic.com/wp-content/uploads/2023/04/FTTH-Fiber-Optic-Protection-Box-5.jpg,https://www.holightoptic.com/fiber-optic-product/ftth-fiber-optic-protection-box/,I was browsing through your site and came across one of your products: ftth fiber optic protection box,"That comes with a plastic case, right?",,owner,contact email: info@holightoptic.com,contact email: info@holightoptic.com
tarluz.com,Tarluz,https://www.tarluz.com/wp-content/uploads/2015/10/TK201-Fiber-Optic-Splicing-Toolkits-1.jpg,https://www.tarluz.com/product-details/tk201-fiber-optic-splicing-kit/,I was browsing through your site and came across one of your products: tk201 fiber optic splicing kit,"That comes with foam inserts, right?",,owner,sales@tarluz.com,sales@tarluz.com
elecraft.com,Elecraft,https://elecraft.com/cdn/shop/products/ES80_filled.jpg?v=1741547654&width=1445,https://elecraft.com/products/es80_es80-kx3-carrying-case,I was browsing through your site and came across one of your products: es80,"That comes with a soft-sided case, right?",(model number: kx3 ),owner,sales@elecraft.com,sales@elecraft.com
